kp,Ap,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Jan,12,4,2,2.625,0
2,6,2,0,1.5,0
3,11,4,0,2.5,11
4,10,4,1,2.125,0
5,17,4,2,3.125,0
6,14,4,2,3.125,0
7,20,4,3,3.375,0
8,16,4,2,3.125,0
9,11,3,1,2.25,0
10,10,4,1,2.25,0
11,7,3,0,1.75,0
12,4,2,0,0.875,11
13,4,2,0,0.875,24
14,4,2,0,1,24
15,4,2,0,1.25,23
16,2,1,0,0.25,24
17,3,2,0,0.5,26
18,14,4,0,2.75,25
19,10,3,1,2.375,26
20,10,3,1,2.125,61
21,10,3,1,2.125,67
22,9,3,2,2.25,61
23,4,2,0,1.125,53
24,2,2,0,0.625,55
25,5,3,0,1.125,46
26,11,4,0,2.25,31
27,20,4,1,3.25,33
28,9,3,1,2,28
29,6,3,0,1.625,24
30,6,3,0,1.375,35
31,22,5,3,3.5,42
